tn_id,sku,nombre,marca,precio,stock,url,publicado
351969588,DLG-162-BLK,Magpul PICATINNY - Streaked Picatinny Foregrip Rubberized - Black,Magpul,56833.70,5,https://jgo.com.ar/productos/magpul-picatinny-streaked-picatinny-foregrip/,SI
351969590,DLG-159-BLK,Magpul PICATINNY - Tactical Picatinny Handstop w/QD Base - Black,Magpul,50481.20,5,https://jgo.com.ar/productos/magpul-picatinny-tactical-picatinny-handstop/,SI
351969591,CK-MMAC-006,Canik MMAC 006 - GUION PUNTO BLANCO,Canik,26952.75,5,https://jgo.com.ar/productos/canik-mmac-006-guion-punto-blanco/,SI
351969594,CK-MMAC-007,Canik MMAC 007 - GUION FIBRA OPTICA,Canik,47208.15,5,https://jgo.com.ar/productos/canik-mmac-007-guion-fibra-optica/,SI
351969596,CK-MMAC-053,Canik MMAC 053 - RESORTE RECUPERADOR ALIVIANADO - FULL SIZE (AZUL),Canik,60766.20,5,https://jgo.com.ar/productos/canik-mmac-053-resorte-recuperador-alivianad/,SI
351969598,CK-MMAC-054,Canik MMAC 054 - RESORTE RECUPERADOR HIG FORCE - FULL SIZE (ROJO) PARA MUNICION DE ALTA PRESIÓN,Canik,60766.20,5,https://jgo.com.ar/productos/canik-mmac-054-resorte-recuperador-hig-force/,SI
351969600,CK-MMAC-065,Canik MMAC 065 - COLA DE DISPARADOR RECTAEN ALUMINIO,Canik,181971.90,5,https://jgo.com.ar/productos/canik-mmac-065-cola-de-disparador-rectaen-al/,SI
351969603,CK-MMAC-299,Canik MMAC 299 - SET DE ALZA Y GUION TRITIO,Canik,323433.00,5,https://jgo.com.ar/productos/canik-mmac-299-set-de-alza-y-guion-tritio/,SI
351969606,CK-MMAC-638,Canik MMAC 638 - COLA DE DISPARADOR RECTA 90° ALIVIANADO - ALUMINIO- AZUL,Canik,195529.95,5,https://jgo.com.ar/productos/canik-mmac-638-cola-de-disparador-recta-90/,SI
351969609,CK-MMAC-640,Canik MMAC 640 - COLA DE DISPARADOR RECTA 90° ALIVIANADO - ALUMINIO- ROJO,Canik,195529.95,5,https://jgo.com.ar/productos/canik-mmac-640-cola-de-disparador-recta-90/,SI
